Filename,TruckRoute,TruckTime,DroneTimes,MaxTotalTime
20140813T111604,"0 2 4 7 6 1 8 5 9 10 0",201.982,"29.6989",201.982
20140813T111606,"0 5 10 7 2 9 4 3 1 0",190.094,"54.3439",190.094
20140813T111609,"0 3 4 9 2 1 7 10 5 0",197.637,"52.993",197.637
20140813T111611,"0 2 8 6 4 5 10 1 9 0",146.739,"53.6888",146.739
20140813T111613,"0 7 5 2 3 10 9 8 4 1 0",258.223,"28.8064",258.223
20140813T111615,"0 3 9 7 10 6 2 4 1 8 0",181.218,"29.5106",181.218
20140813T111617,"0 9 3 2 1 5 7 8 6 0",141.742,"53.1337",141.742
20140813T111619,"0 7 2 6 1 3 8 5 4 0",189.34,"53.4288",189.34
20140813T111621,"0 8 3 10 5 1 6 9 4 0",218.094,"56.7333",218.094
20140813T111623,"0 2 9 7 3 4 5 6 1 0",213.617,"55.633",213.617
20140813T111626,"0 2 4 3 8 6 5 10 7 1 0",161.547,"21.9766",161.547
20140813T111628,"0 4 3 5 1 10 6 7 8 0",147.466,"46.2672",147.466
20140813T111630,"0 5 10 8 9 4 6 3 1 0",136.078,"36.5867",136.078
20140813T111632,"0 7 9 10 6 2 4 5 1 3 0",140.848,"13.221",140.848
20140813T111634,"0 3 6 5 10 8 9 2 1 0",164.072,"37.5162",164.072
20140813T111636,"0 9 8 4 10 6 7 3 1 0",148.16,"36.2386",148.16
20140813T111638,"0 2 4 1 9 10 7 3 5 0",130.858,"39.6296",130.858
20140813T111640,"0 7 4 3 2 6 5 1 9 0",146.461,"34.4594",146.461
20140813T111642,"0 3 9 2 4 7 1 10 8 5 0",165.445,"5.98904",165.445
20140813T111644,"0 2 5 7 3 8 9 1 10 6 0",166.434,"21.1576",166.434
20140813T111646,"0 8 3 6 4 9 10 2 7 0",160.807,"51.3158",160.807
20140813T111649,"0 2 8 10 6 9 1 7 4 0",180.07,"52.5969",180.07
20140813T111651,"0 2 10 6 8 3 7 1 9 0",220.65,"44.4076",220.65
20140813T111653,"0 2 9 6 7 1 4 8 10 3 0",189.923,"7.06724",189.923
20140813T111655,"0 2 8 9 6 4 3 10 1 7 0",201.927,"18.5494",201.927
20140813T111657,"0 2 8 7 6 4 9 10 5 1 0",193.63,"28.114",193.63
20140813T111659,"0 10 9 4 3 1 5 7 8 0",201.614,"42.3504",201.614
20140813T111701,"0 6 4 5 10 3 9 8 7 2 0",213.714,"26.2987",213.714
20140813T111703,"0 2 8 10 5 4 7 3 9 1 0",211.725,"24.5009",211.725
20140813T111705,"0 7 6 2 9 1 5 4 10 3 0",218.079,"22.5213",218.079
20140813T111708,"0 6 3 1 7 8 5 9 0",115.256,"73.6891",115.256
20140813T111710,"0 3 2 9 4 6 8 1 0",146.243,"80.9659",146.243
20140813T111712,"0 10 5 3 7 4 9 2 0",75.397,"72.7929",75.397
20140813T111714,"0 4 2 6 7 8 1 10 0",104.144,"71.1837",104.144
20140813T111716,"0 7 8 3 2 6 10 9 5 0",143.083,"46.8551",143.083
20140813T111718,"0 3 2 9 5 1 6 4 0",135.935,"62.7866",135.935
20140813T111720,"0 4 7 8 3 10 2 9 0",106.276,"76.909",106.276
20140813T111722,"0 7 4 10 9 5 2 8 6 0",152.891,"46.8773",152.891
20140813T111725,"0 10 7 3 4 1 5 8 0",169.037,"67.5943",169.037
20140813T111727,"0 6 3 9 8 2 10 0",114.179,"95.9223",114.179
