Filename,Obj,Runtime
20140813T111843|3,69.8417,0ms
20140813T111845|1,71.7172,0ms
20140813T111845|2,62.465,0ms
20140813T111845|3,62.465,0ms
20140813T111847|1,66.6297,0ms
20140813T111847|2,65.9476,0ms
20140813T111847|3,62.4697,0ms
20140813T111849|1,67.6733,0ms
20140813T111849|2,66.7133,0ms
20140813T111849|3,66.7133,0ms
20140813T111851|1,64.4627,0ms
20140813T111851|2,63.5027,0ms
20140813T111851|3,64.4627,0ms
20140813T111853|1,119.952,0ms
20140813T111853|2,119.632,0ms
20140813T111853|3,119.415,0ms
20140813T111855|1,117.757,0ms
20140813T111855|2,110.557,0ms
20140813T111855|3,110.557,0ms
20140813T111857|1,75.815,0ms
20140813T111857|2,75.815,0ms
20140813T111857|3,75.815,0ms
20140813T111859|1,125.914,0ms
20140813T111859|2,123.463,0ms
20140813T111859|3,116.049,0ms
20140813T111902|1,126.471,0ms
20140813T111902|2,121.702,0ms
20140813T111902|3,123.077,0ms
20140813T111904|1,123.269,0ms
20140813T111904|2,116.069,0ms
20140813T111904|3,116.069,0ms
20140813T111906|1,93.1399,0ms
20140813T111906|2,93.1399,0ms
20140813T111906|3,93.1399,0ms
20140813T111908|1,88.4993,0ms
20140813T111908|2,77.1381,0ms
20140813T111908|3,77.1381,0ms
20140813T111910|1,108.725,0ms
20140813T111910|2,107.346,0ms
20140813T111910|3,108.085,0ms
20140813T111912|1,127.734,0ms
20140813T111912|2,127.734,0ms
20140813T111912|3,127.734,0ms
20140813T111914|1,83.9939,0ms
20140813T111914|2,74.0527,0ms
20140813T111914|3,70.4977,0ms
20140813T111916|1,92.753,0ms
20140813T111916|2,85.2606,0ms
20140813T111916|3,85.2606,0ms
20140813T111918|1,94.8941,0ms
20140813T111918|2,66.7522,0ms
20140813T111918|3,52.7351,0ms
20140813T111920|1,80.7109,0ms
20140813T111920|2,75.1717,0ms
20140813T111920|3,73.7287,0ms
20140813T111922|1,78.2033,0ms
20140813T111922|2,74.8638,0ms
20140813T111922|3,74.2238,0ms
20140813T111925|1,109.187,0ms
20140813T111925|2,96.0854,0ms
20140813T111925|3,92.4339,0ms
20140813T111927|1,95.8414,0ms
20140813T111927|2,75.7933,0ms
20140813T111927|3,68.0484,0ms
20140813T111929|1,84.2753,0ms
20140813T111929|2,61.7676,0ms
20140813T111929|3,57.6853,0ms
20140813T111931|1,90.1639,0ms
20140813T111931|2,83.8178,0ms
20140813T111931|3,80.4004,0ms
20140813T111933|1,56.202,0ms
20140813T111933|2,54.2187,0ms
20140813T111933|3,53.8987,0ms
20140813T111935|1,50.8271,0ms
20140813T111935|2,50.8271,0ms
20140813T111935|3,59.4611,0ms
20140813T111937|1,63.0475,0ms
20140813T111937|2,58.4566,0ms
20140813T111937|3,58.4566,0ms
20140813T111939|1,59.2101,0ms
20140813T111939|2,59.0501,0ms
20140813T111939|3,59.0501,0ms
20140813T111941|1,56.3091,0ms
20140813T111941|2,55.7955,0ms
20140813T111941|3,74.2676,0ms
20140813T111943|1,61.7673,0ms
20140813T111943|2,61.6832,0ms
20140813T111943|3,61.6832,0ms
20140813T111945|1,48.7401,0ms
20140813T111945|2,48.7401,0ms
20140813T111945|3,48.7401,0ms
20140813T111948|1,73.7055,0ms
20140813T111948|2,55.2182,0ms
20140813T111948|3,67.8987,0ms
20140813T111950|1,69.6426,0ms
20140813T111950|2,69.6426,0ms
20140813T111950|3,69.6426,0ms
20140813T111952|1,69.8694,0ms
20140813T111952|2,52.4337,0ms
20140813T111952|3,68.6376,0ms
20140813T111954|1,56.7837,0ms
20140813T111954|2,54.9561,0ms
20140813T111954|3,54.9561,0ms
20140813T111956|1,86.3378,0ms
20140813T111956|2,86.3378,0ms
20140813T111956|3,67.9113,0ms
20140813T111959|1,79.5662,0ms
20140813T111959|2,65.4882,0ms
20140813T111959|3,65.4882,0ms
20140813T112001|1,89.0134,0ms
20140813T112001|2,79.132,0ms
20140813T112001|3,79.132,0ms
20140813T112003|1,78.1897,0ms
20140813T112003|2,61.4962,0ms
20140813T112003|3,61.3594,0ms
20140813T112005|1,61.7995,0ms
20140813T112005|2,61.7995,0ms
20140813T112005|3,60.9995,0ms
20140813T112007|1,116.424,0ms
20140813T112007|2,107.461,0ms
20140813T112007|3,106.897,0ms
20140813T112010|1,97.0434,0ms
20140813T112010|2,96.5634,0ms
20140813T112010|3,96.5634,0ms
20140813T112012|1,64.1614,0ms
20140813T112012|2,64.1614,0ms
20140813T112012|3,64.1614,0ms
20140813T112014|1,68.4416,0ms
20140813T112014|2,65.8838,0ms
20140813T112014|3,63.4816,0ms
20140813T112016|1,47.6444,0ms
20140813T112016|2,45.6854,0ms
