Filename,Obj,Runtime
20140813T125057|2,184.049,0ms
20140813T125057|3,183.953,0ms
20140813T125059|1,207.098,0ms
20140813T125059|2,207.838,0ms
20140813T125059|3,207.838,0ms
20140813T125102|1,192.65,0ms
20140813T125102|2,187.139,0ms
20140813T125102|3,192.668,0ms
20140813T125104|1,208.168,0ms
20140813T125104|2,208.168,0ms
20140813T125104|3,205.768,0ms
20140813T125106|1,187.446,0ms
20140813T125106|2,186.966,0ms
20140813T125106|3,187.446,0ms
20140813T125108|1,191.108,0ms
20140813T125108|2,183.881,0ms
20140813T125108|3,191.108,0ms
20140813T125110|1,179.044,0ms
20140813T125110|2,160.139,0ms
20140813T125110|3,130.296,0ms
20140813T125112|1,166.284,0ms
20140813T125112|2,143.807,1ms
20140813T125112|3,143.807,1ms
20140813T125115|1,133.566,1ms
20140813T125115|2,132.906,1ms
20140813T125115|3,100.69,1ms
20140813T125117|1,142.061,0ms
20140813T125117|2,122.987,1ms
20140813T125117|3,122.987,0ms
20140813T125119|1,141.592,0ms
20140813T125119|2,113.255,0ms
20140813T125119|3,113.164,1ms
20140813T125121|1,184.72,0ms
20140813T125121|2,158.604,0ms
20140813T125121|3,158.604,0ms
20140813T125123|1,163.196,0ms
20140813T125123|2,125.187,0ms
20140813T125123|3,133.117,1ms
20140813T125125|1,145.199,0ms
20140813T125125|2,137.606,1ms
20140813T125125|3,128.63,1ms
20140813T125127|1,176.947,0ms
20140813T125127|2,168.325,1ms
20140813T125127|3,168.325,1ms
20140813T125130|1,155.191,0ms
20140813T125130|2,145.943,1ms
20140813T125130|3,145.943,1ms
20140813T125132|1,123.852,0ms
20140813T125132|2,109.885,1ms
20140813T125132|3,105.128,0ms
20140813T125134|1,122.965,1ms
20140813T125134|2,110.969,0ms
20140813T125134|3,104.249,1ms
20140813T125136|1,108.754,0ms
20140813T125136|2,89.7842,0ms
20140813T125136|3,86.5005,1ms
20140813T125138|1,97.2699,0ms
20140813T125138|2,88.3471,0ms
20140813T125138|3,78.4151,1ms
20140813T125141|1,113.992,0ms
20140813T125141|2,79.2102,0ms
20140813T125141|3,70.8207,0ms
20140813T125143|1,119.564,0ms
20140813T125143|2,92.18,1ms
20140813T125143|3,92.18,1ms
20140813T125145|1,118.312,0ms
20140813T125145|2,100.203,0ms
20140813T125145|3,100.395,1ms
20140813T125148|1,124.111,1ms
20140813T125148|2,105.126,1ms
20140813T125148|3,105.126,1ms
20140813T125150|1,97.6095,0ms
20140813T125150|2,88.0036,0ms
20140813T125150|3,82.0083,1ms
20140813T125152|1,80.2075,0ms
20140813T125152|2,87.3255,0ms
20140813T125152|3,72.932,0ms
20140813T125154|1,140.777,0ms
20140813T125154|2,130.346,0ms
20140813T125154|3,126.886,0ms
20140813T125156|1,158.134,0ms
20140813T125156|2,163.24,0ms
20140813T125156|3,162.021,0ms
20140813T125159|1,176.073,0ms
20140813T125159|2,160.766,0ms
20140813T125159|3,160.266,1ms
20140813T125201|1,189.676,0ms
20140813T125201|2,163.853,0ms
20140813T125201|3,175.791,0ms
20140813T125203|1,178.39,0ms
20140813T125203|2,163.669,0ms
20140813T125203|3,153.938,1ms
20140813T125205|1,176.899,0ms
20140813T125205|2,167.939,0ms
20140813T125205|3,176.899,1ms
20140813T125207|1,138.514,0ms
20140813T125207|2,118.63,0ms
20140813T125207|3,118.63,0ms
20140813T125209|1,150.866,0ms
20140813T125209|2,150.866,0ms
20140813T125209|3,150.866,0ms
20140813T125212|1,176.846,0ms
20140813T125212|2,142.788,0ms
20140813T125212|3,142.788,1ms
20140813T125214|1,148.64,0ms
20140813T125214|2,131.335,1ms
20140813T125214|3,136.615,1ms
20140813T125216|1,107.261,0ms
20140813T125216|2,103.528,1ms
20140813T125216|3,86.7636,2ms
20140813T125218|1,159.094,1ms
20140813T125218|2,133.116,1ms
20140813T125218|3,124.538,1ms
20140813T125220|1,158.372,0ms
20140813T125220|2,118.597,0ms
20140813T125220|3,98.9956,1ms
20140813T125223|1,103.122,0ms
20140813T125223|2,93.6819,0ms
20140813T125223|3,89.5189,1ms
20140813T125225|1,159.387,0ms
20140813T125225|2,134.967,1ms
20140813T125225|3,128.698,1ms
20140813T125227|1,145.103,1ms
20140813T125227|2,140.061,0ms
20140813T125227|3,113.46,1ms
20140813T125229|1,119.816,0ms
20140813T125229|2,100.05,1ms
20140813T125229|3,86.7619,1ms
20140813T125231|1,123.264,0ms
20140813T125231|2,95.6749,0ms
20140813T125231|3,82.8679,0ms
20140813T125233|1,139.778,1ms
20140813T125233|2,137.519,0ms
20140813T125233|3,122.616,1ms
20140813T125235|1,148.539,0ms
20140813T125235|2,136.011,1ms
20140813T125235|3,110.46,1ms
20140813T125238|1,92.1344,0ms
20140813T125238|2,75.5039,1ms
20140813T125238|3,58.9668,1ms
20140813T125240|1,94.4524,0ms
20140813T125240|2,87.9043,0ms
20140813T125240|3,83.4869,1ms
20140813T125242|1,112.996,0ms
20140813T125242|2,81.8236,0ms
20140813T125242|3,78.8006,1ms
20140813T125244|1,98.6948,0ms
20140813T125244|2,87.9736,1ms
20140813T125244|3,84.3477,1ms
20140813T125246|1,67.8244,0ms
20140813T125246|2,74.7256,1ms
20140813T125246|3,66.5291,1ms
20140813T125248|1,84.0175,0ms
20140813T125248|2,80.6565,0ms
20140813T125248|3,79.438,1ms
20140813T125250|1,107.544,0ms
20140813T125250|2,89.495,1ms
20140813T125250|3,91.387,1ms
20140813T125252|1,116.921,0ms
20140813T125252|2,93.6844,0ms
20140813T125252|3,70.6957,1ms
20140813T125255|1,106.075,0ms
20140813T125255|2,80.8795,1ms
20140813T125255|3,76.476,1ms
20140813T125257|1,87.9105,0ms
20140813T125257|2,78.1443,1ms
20140813T125257|3,70.1717,1ms
20140813T125306|1,118.987,0ms
20140813T125306|2,101.71,0ms
20140813T125306|3,90.08,1ms
20140813T125310|1,116.964,0ms
20140813T125310|2,112.704,0ms
20140813T125310|3,96.8543,1ms
20140813T125312|1,100.895,0ms
20140813T125312|2,100.037,1ms
20140813T125312|3,91.1229,1ms
20140813T125321|1,109.2,0ms
20140813T125321|2,107.943,1ms
20140813T125321|3,97.0283,1ms
20140813T125324|1,124.563,0ms
20140813T125324|2,108.56,0ms
20140813T125324|3,100.141,1ms
20140813T125330|1,137.4,0ms
20140813T125330|2,139.439,1ms
20140813T125330|3,139.439,0ms
20140813T125334|1,113.38,0ms
20140813T125334|2,97.7824,1ms
20140813T125334|3,93.2459,1ms
20140813T125336|1,139.922,0ms
20140813T125336|2,120.12,1ms
20140813T125336|3,98.6559,1ms
20140813T125345|1,123.477,0ms
20140813T125345|2,107.893,1ms
20140813T125345|3,107.893,1ms
20140813T125351|1,120.678,0ms
20140813T125351|2,123.847,0ms
